name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
Cédric,ARS,DEF,4.2,Available,28,2,0,1.0,0.1
Xhaka,ARS,MID,5.1,Available,1166,62,7,4.4,3.7
Elneny,ARS,MID,4.2,Available,94,4,0,1.3,0.7
Holding,ARS,DEF,4.2,Available,12,4,0,1.0,0.1
Partey,ARS,MID,4.8,Available,959,42,4,3.8,0.5
Ødegaard,ARS,MID,6.4,Available,1076,77,11,5.9,14.2
Tierney,ARS,DEF,4.7,Available,345,19,0,1.6,0.8
Pépé,ARS,MID,5.3,NotAvail,0,0,0,0.0,0.1
White,ARS,DEF,4.7,Available,1150,66,6,4.7,10.6
Nketiah,ARS,FWD,6.5,Available,141,12,0,1.0,0.4
Smith Rowe,ARS,MID,5.6,Doubtful,47,4,0,1.0,0.4
Saka,ARS,MID,8.0,Available,1174,76,5,5.4,17.1
Tomiyasu,ARS,DEF,4.2,Available,404,21,0,1.9,0.7
Ramsdale,ARS,GKP,4.9,Available,1260,58,3,4.1,11.2
Gabriel,ARS,DEF,5.2,Available,1260,72,9,5.1,13.6
Tavares,ARS,DEF,4.5,NotAvail,0,0,0,0.0,0.0
Sambi,ARS,MID,4.3,Available,195,8,0,1.3,0.2
Martinelli,ARS,MID,6.8,Available,1183,77,6,5.5,48.4
Pablo Marí,ARS,DEF,4.5,NotAvail,0,0,0,0.0,0.0
Torreira,ARS,MID,4.5,NotAvail,0,0,0,0.0,0.1
Nelson,ARS,MID,4.8,Available,64,20,3,10.0,0.1
Turner,ARS,GKP,3.9,Available,0,0,0,0.0,1.4
Fábio Vieira,ARS,MID,5.7,Available,243,22,2,2.8,0.1
Saliba,ARS,DEF,5.3,Available,1245,74,12,5.3,35.1
Marquinhos,ARS,MID,4.6,Available,1,1,0,1.0,0.1
Jesus,ARS,FWD,8.0,Doubtful,1220,69,7,4.9,55.0
Zinchenko,ARS,DEF,5.0,Available,560,36,5,5.1,8.1
Smith,ARS,MID,4.5,Available,0,0,0,0.0,0.1
Nwaneri,ARS,MID,4.5,Available,1,1,0,1.0,0.0
Sousa,ARS,DEF,4.0,Available,0,0,0,0.0,0.1
Hein,ARS,GKP,4.0,Available,0,0,0,0.0,0.0
Coutinho,AVL,MID,6.6,Doubtful,565,18,0,1.5,3.3
Ings,AVL,FWD,6.6,Available,719,46,7,3.3,1.5
Martínez,AVL,GKP,4.9,Available,1294,50,2,3.3,4.2
Chambers,AVL,DEF,4.2,Available,100,4,0,1.3,0.2
Digne,AVL,DEF,4.6,Available,810,25,3,2.5,1.5
Traoré,AVL,MID,4.9,NotAvail,0,0,0,0.0,0.1
Olsen,AVL,GKP,3.9,Available,55,-1,0,-1.0,1.5
Sanson,AVL,MID,4.3,Available,1,1,0,1.0,0.3
McGinn,AVL,MID,5.1,Available,1055,28,0,1.9,0.6
Hause,AVL,DEF,4.4,NotAvail,0,0,0,0.0,0.0
Mings,AVL,DEF,4.3,Available,1170,34,4,2.6,3.8
Watkins,AVL,FWD,7.1,Available,1171,46,3,3.3,2.3
Nakamba,AVL,MID,4.3,Available,0,0,0,0.0,0.2
Buendía,AVL,MID,5.7,Available,720,30,2,2.0,0.3
Cash,AVL,DEF,4.6,Available,1029,18,0,1.4,3.8
Konsa,AVL,DEF,4.4,Available,1261,33,1,2.2,0.3
Bailey,AVL,MID,4.5,Available,825,48,4,3.4,4.5
Douglas Luiz,AVL,MID,4.8,Available,926,37,3,2.6,0.4
Ramsey,AVL,MID,5.2,Available,1020,47,6,3.1,1.0
Iroegbunam,AVL,MID,4.5,NotAvail,0,0,0,0.0,0.0
Diego Carlos,AVL,DEF,4.7,Injured,180,3,0,1.5,0.2
El Ghazi,AVL,MID,4.8,NotAvail,0,0,0,0.0,0.0
Davis,AVL,FWD,5.4,NotAvail,0,0,0,0.0,0.0
Kamara,AVL,MID,4.8,Available,668,14,0,1.6,0.1
Archer,AVL,FWD,4.2,Available,43,6,0,1.0,2.7
Philogene-Bidace,AVL,MID,4.5,NotAvail,0,0,0,0.0,0.0
Guilbert,AVL,DEF,3.9,Available,0,0,0,0.0,0.8
Bednarek,AVL,DEF,4.2,Available,249,3,0,0.8,0.2
Dendoncker,AVL,MID,4.7,Available,508,19,0,1.6,0.1
Augustinsson,AVL,DEF,4.3,Available,53,1,0,0.5,0.0
Kesler Hayden,AVL,DEF,4.0,NotAvail,0,0,0,0.0,0.1
Young,AVL,DEF,4.4,Available,726,35,5,3.2,1.0
Bogarde,AVL,DEF,4.0,Available,0,0,0,0.0,0.0
Smith,BOU,DEF,4.4,Available,1305,38,5,2.5,0.2
Stanislas,BOU,MID,4.8,Available,58,4,0,1.0,0.0
